iter	Logloss
0	0.6190853679
1	0.5556135962
2	0.5094352232
3	0.4774561178
4	0.4501598807
5	0.4345849404
6	0.4155890409
7	0.4048354524
8	0.39598148
9	0.3860079974
10	0.3793396238
11	0.3725973528
12	0.3657550992
13	0.3610442138
14	0.3571256751
15	0.350676108
16	0.3467779894
17	0.3437711049
18	0.3402479153
19	0.33592084
20	0.3329636089
21	0.3300478681
22	0.3239375575
23	0.3214910392
24	0.3188260924
25	0.3164746712
26	0.3142298524
27	0.3119434953
28	0.3094220922
29	0.306158771
30	0.3037922266
31	0.3008680933
32	0.2982595788
33	0.2959561123
34	0.2937724866
35	0.2918118028
36	0.2902494746
37	0.2879229578
38	0.2862176704
39	0.2844173399
40	0.2826446272
41	0.2808723424
42	0.2792816382
43	0.2775037037
44	0.2762937794
45	0.2750565295
46	0.2733089891
47	0.2702143288
48	0.2665349345
49	0.2652208678
50	0.2639025789
51	0.2607143354
52	0.2588895975
53	0.2576657449
54	0.2566247791
55	0.2552299858
56	0.2538725295
57	0.2525583572
58	0.2513794759
59	0.2499890639
60	0.2473130439
61	0.2461252345
62	0.245182651
63	0.2434002552
64	0.2418409605
65	0.2405525027
66	0.2385844853
67	0.2372721098
68	0.235595295
69	0.2343103547
70	0.2325810905
71	0.2315550908
72	0.2296803298
73	0.2287246125
74	0.2275650194
75	0.2264694771
76	0.2253680693
77	0.2243429345
78	0.2234307295
79	0.22230372
80	0.221367123
81	0.2201402255
82	0.2192683627
83	0.2181802851
84	0.2173230981
85	0.2161547289
86	0.2151145958
87	0.2139618289
88	0.2127942214
89	0.2118970326
90	0.211095699
91	0.2099114452
92	0.2089656208
93	0.2075911868
94	0.2068634328
95	0.2059083787
96	0.2049814574
97	0.2040657376
98	0.2029330179
99	0.2019512321
