iter	Passed	Remaining
0	62	6210
1	68	3366
2	74	2417
3	80	1939
4	87	1658
5	93	1459
6	99	1316
7	105	1208
8	111	1127
9	118	1065
10	124	1005
11	131	961
12	137	921
13	144	884
14	149	847
15	155	818
16	161	790
17	167	763
18	174	742
19	180	722
20	186	701
21	192	682
22	198	664
23	203	645
24	209	628
25	215	613
26	221	598
27	227	583
28	233	572
29	240	561
30	247	551
31	254	539
32	260	528
33	266	517
34	273	507
35	279	496
36	285	485
37	291	474
38	297	464
39	303	455
40	310	446
41	316	436
42	322	427
43	328	418
44	334	409
45	339	398
46	346	390
47	352	381
48	358	373
49	365	365
50	370	356
51	377	348
52	383	339
53	389	331
54	395	323
55	401	315
56	408	307
57	413	299
58	419	291
59	425	283
60	433	276
61	439	269
62	445	261
63	452	254
64	458	246
65	464	239
66	470	231
67	477	224
68	483	217
69	489	209
70	496	202
71	502	195
72	510	188
73	517	181
74	523	174
75	530	167
76	537	160
77	544	153
78	550	146
79	556	139
80	562	131
81	568	124
82	575	117
83	581	110
84	587	103
85	594	96
86	600	89
87	607	82
88	613	75
89	619	68
90	626	61
91	632	54
92	638	48
93	645	41
94	651	34
95	658	27
96	664	20
97	670	13
98	677	6
99	683	0
