industry_code,industry_name
A01,농업
A02,임업
A03,어업
B05,"석탄, 원유 및 천연가스 광업"
B06,금속 광업
B07,"비금속광물 광업; 연료용 제외"
B08,광업 지원 서비스업
C10,식료품 제조업
C11,음료 제조업
C12,담배 제조업
C13,"섬유제품 제조업; 의복 제외"
C14,"의복, 의복 액세서리 및 모피제품 제조업"
C15,"가죽, 가방 및 신발 제조업"
C16,"목재 및 나무제품 제조업; 가구 제외"
C17,"펄프, 종이 및 종이제품 제조업"
C18,인쇄 및 기록매체 복제업
C19,"코크스, 연탄 및 석유정제품 제조업"
C20,"화학 물질 및 화학제품 제조업; 의약품 제외"
C21,의료용 물질 및 의약품 제조업
C22,고무 및 플라스틱제품 제조업
C23,비금속 광물제품 제조업
C24,1차 금속 제조업
C25,"금속 가공제품 제조업; 기계 및 가구 제외"
C26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
C27,"의료, 정밀, 광학 기기 및 시계 제조업"
C28,전기장비 제조업
C29,기타 기계 및 장비 제조업
C30,자동차 및 트레일러 제조업
C31,기타 운송장비 제조업
C32,가구 제조업
C33,기타 제품 제조업
C34,산업용 기계 및 장비 수리업
D35,"전기, 가스, 증기 및 공기 조절 공급업"
E36,수도업
E37,"하수, 폐수 및 분뇨 처리업"
E38,"폐기물 수집, 운반, 처리 및 원료 재생업"
E39,환경 정화 및 복원업
F41,종합 건설업
F42,전문직별 공사업
G45,자동차 및 부품 판매업
G46,도매 및 상품 중개업
G47,"소매업; 자동차 제외"
H49,육상 운송 및 파이프라인 운송업
H50,수상 운송업
H51,항공 운송업
H52,창고 및 운송관련 서비스업
I55,숙박업
I56,음식점 및 주점업
J58,출판업
J59,"영상·오디오 기록물 제작 및 배급업"
J60,"방송 및 영상·오디오물 제공 서비스업"
J61,우편 및 통신업
J62,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
J63,정보서비스업
K64,금융업
K65,보험업
K66,금융 및 보험관련 서비스업
L68,부동산업
M70,연구개발업
M71,전문 서비스업
M72,"건축 기술, 엔지니어링 및 기타 과학기술 서비스업"
M73,"기타 전문, 과학 및 기술 서비스업"
N74,"사업시설 관리, 사업 지원 및 임대 서비스업"
N75,사업 지원 서비스업
N76,"임대업; 부동산 제외"
O84,"공공 행정, 국방 및 사회보장 행정"
P85,교육 서비스업
Q86,보건업
Q87,사회복지 서비스업
R90,"창작, 예술 및 여가관련 서비스업"
R91,스포츠 및 오락관련 서비스업
S94,협회 및 단체
S95,개인 및 소비용품 수리업
S96,기타 개인 서비스업
T97,가구 내 고용활동
T98,"달리 분류되지 않은 자가 소비를 위한 가구의 재화 및 서비스 생산활동"
U99,국제 및 외국기관
