feature,importance
da0d00029,0.057761045038567334
da0d00029_1,0.05192571010761202
da0d00035_2,0.048525122151794456
da0d00035_4_2,0.046867339805255856
da0d00035_4_1,0.0416381330909473
inventory_to_current_asset,0.03642963681508048
da0d00035_3_2,0.03585116405571358
d2b000003,0.0342621058701023
d2b000002,0.025987700367332445
r007,0.025437960454818217
fn3_11_1,0.023475855236603782
da0d00026_1,0.021548193187849774
da0d00033_2,0.02120314621307986
da0d00035_3_1,0.020778793159035927
n009,0.020665230292128394
n010,0.020639281686837388
r012,0.01738022852209063
r019,0.01719158914878785
debt_to_equity,0.01701501702128493
da0d00026,0.016241639653495777
d2011000h,0.015520380299863605
fn3_11,0.0148816088637893
borrowing_ratio,0.014648254557510152
fn3_3,0.014524441954732655
da0d00034_2,0.014193033354775564
fn1_20,0.013932209114904765
d2b000012_2,0.0126717504148279
da0d00027,0.012519374025808352
fn1_22,0.01099168995282634
fn1_23,0.010598808619827307
d2b000012,0.010351307952760378
da0d00028,0.010347474020515932
da0d00025,0.00997771763207858
d2b000005,0.009812776903324903
n011,0.0097749659885189
interest_coverage,0.009693105777512014
d2b000012_1,0.009671477144252061
fn3_1,0.0092932156993074
da0d00034_1,0.009054768252879404
fn2_3_4,0.008803679420008504
da0d00042,0.008650449057879763
d2b000012_3,0.008482708317520765
da0d00021,0.008192799227254174
fn2_9,0.00817556477498367
net_working_capital,0.008002035580998745
r015,0.007528878679073105
fn2_2_1,0.007487153027478899
r022,0.007380522929070515
fn2_10,0.0072042661481234675
d2b000001,0.007053645004809773
fn1_24,0.006972950568798108
n012,0.006968906788660372
n003,0.006879507389902523
fn3_6,0.006375515270302657
cash_to_debt,0.006239843180820919
fn3_7,0.0055548290252818286
fn3_2,0.005483092843382574
n008,0.005434570699635488
composite_growth,0.00492368091944468
da0d00033_1,0.0047605920610777515
da0d00035_1,0.004742426183728433
r016,0.003922024091802478
nwc_to_total_asset,0.0038646104248483766
db0d00009,0.0037422339306565715
fn3_2_2,0.003235017726325844
db0d00005,0.002887520245689424
da0d00032_3,0.0028077086148872014
db0d00011,0.0014842488916406828
db0d00006,0.0011007122935398133
da0d00044_4,0.0008096392023499932
db0d00007,0.0006119084654626602
da0d00024,0.000498751054172655
da0d00032,0.0002753987824380919
db0d00010,8.243991700491341e-05
da0d00044_3,5.1933915170651344e-05
da0d00031,3.5911722603435396e-05
da0d00030,9.071214736691309e-06
has_credit_event_1,0.0
has_credit_event_2,0.0
