feature,votes,mi_score,f_score,p_value,rf_importance,correlation,variance_selected,mi_selected,f_selected,rf_selected,corr_selected,final_selected
da0d00034_2,5,0.009728010113587593,4534.448387572326,0.0,0.024906077165032427,0.28835981152940626,True,True,True,True,True,True
da0d00029_1,5,0.009937488395353578,1188.9733758244847,1.6174386681883601e-257,0.02548839563970684,0.1524075000493999,True,True,True,True,True,True
db0d00005,5,0.0060117102331710415,833.5252102379343,8.689809340856413e-182,0.006709250016457819,0.1280538969120242,True,True,True,True,True,True
da0d00029,5,0.009939123010343609,1641.651439268629,0.0,0.034600509422013905,0.17829896607976262,True,True,True,True,True,True
da0d00025,5,0.0067529407413673415,1478.9217790946705,6.87453e-319,0.008736746234414984,0.16949867896588158,True,True,True,True,True,True
da0d00035_3_2,5,0.009517845376931233,2578.8110659050703,0.0,0.033502398532947585,0.22146884558772575,True,True,True,True,True,True
da0d00033_2,5,0.009051258779511073,4121.229957892375,0.0,0.007320624153724416,0.27595458849203236,True,True,True,True,True,True
d2b000002,5,0.012486034399779244,939.5088290904594,1.9972169841686728e-204,0.022020778620048427,0.13580994777257868,True,True,True,True,True,True
da0d00035_3_1,5,0.007132592516955416,1693.8093454961731,0.0,0.03385222174774529,0.18101784711951152,True,True,True,True,True,True
d2b000001,5,0.004304303025592038,1090.079215264683,1.672253481471293e-236,0.00955566511169464,0.14607276234549937,True,True,True,True,True,True
d2b000012_2,5,0.0038218767151546595,985.340260923594,3.3580220524077736e-214,0.006264349639865479,0.13902054008761328,True,True,True,True,True,True
da0d00035_4_1,5,0.008027071451306766,1656.4097712917155,0.0,0.023633444498557362,0.17907303330834387,True,True,True,True,True,True
da0d00026,5,0.00804468182749185,754.259354589114,8.010266538091738e-165,0.016295550939119503,0.12190812796817602,True,True,True,True,True,True
d2011000h,5,0.0051072477083586865,908.5124622191942,8.245255849443616e-198,0.008707771338191558,0.13359148329097595,True,True,True,True,True,True
d2b000003,5,0.012904920963870192,1045.8780224787602,4.261086533069841e-227,0.021508031790986985,0.14314252949672573,True,True,True,True,True,True
da0d00035_4_2,5,0.009959315907838606,2300.2586164804875,0.0,0.03272712785385803,0.20972235167202655,True,True,True,True,True,True
da0d00027,5,0.008865908360179753,2134.2239507976037,0.0,0.015333327518670538,0.20233306880246185,True,True,True,True,True,True
da0d00026_1,5,0.00783047749087884,746.2477190745918,4.1678343070508757e-163,0.02332364119734122,0.12126852607940211,True,True,True,True,True,True
da0d00028,5,0.010272987690954749,2147.7843886545334,0.0,0.016184006903268697,0.20294844980985272,True,True,True,True,True,True
da0d00035_2,5,0.010888068668797657,3963.561034622639,0.0,0.018203166135254634,0.27101948941584947,True,True,True,True,True,True
db0d00009,5,0.006172797896737525,1030.5377804763627,7.870200013128666e-224,0.007235365607729895,0.14211024792250201,True,True,True,True,True,True
da0d00042,5,0.009813565355668796,5285.571404232825,0.0,0.00834585122652447,0.30920600982985497,True,True,True,True,True,True
da0d00021,5,0.008486894895442298,2684.7307070494294,0.0,0.009524235322088506,0.22574400525428126,True,True,True,True,True,True
da0d00044_4,4,0.0045136413454718305,767.6226448263665,1.1005268119287865e-167,0.0030044748984378094,0.12296712814367187,True,True,True,False,True,True
fn2_9,4,0.00187596533496448,52.338252767875645,4.738691997387271e-13,0.008784664459965903,0.03233747468166095,True,False,True,True,True,True
r007,4,0.0020085894385323266,129.05037792486985,7.19424433984041e-30,0.02457594083133666,0.050739194134176935,True,False,True,True,True,True
da0d00035_1,4,0.008120894666440837,2399.5805606718905,0.0,0.0054159760703832134,0.21399915104865913,True,True,True,False,True,True
da0d00032_3,4,0.0039330507274142334,560.9935734776403,2.4504995472996986e-123,0.0024000255769895317,0.10533670590113597,True,True,True,False,True,True
db0d00011,4,0.004730508058039429,842.2958702254139,1.1578362180397983e-183,0.0036613793155713128,0.12871474511395273,True,True,True,False,True,True
d2b000012_3,4,0.005043337636720602,1056.193418502185,2.713908695113201e-229,0.005191580793518477,0.14383216538475854,True,True,True,False,True,True
da0d00033_1,4,0.004817217470102442,2149.191850489539,0.0,0.003234455967473377,0.2030121961408659,True,True,True,False,True,True
db0d00007,4,0.0039025510764146842,799.8720433299098,1.3741572911558336e-174,0.002443538345234837,0.12548375294826059,True,True,True,False,True,True
da0d00032,4,0.005277828781517724,987.3601051576846,1.2460344581549582e-214,0.00020524613479578003,0.13916019932856308,True,True,True,False,True,True
da0d00024,4,0.005620262450749536,885.049899127782,8.449509337673638e-193,0.0002932630210992625,0.13188557923332064,True,True,True,False,True,True
d2b000005,4,0.004352457492062589,732.2655525268099,4.129500486055034e-160,0.006023309177646175,0.12014362580770009,True,True,True,False,True,True
da0d00031,4,0.0033579525622342565,1139.4646138072828,5.295325761982351e-247,2.960071833539937e-05,0.14927285022450779,True,True,True,False,True,True
