threshold,precision,recall,f1_score,tp,fp,tn,fn
0.1,0.02545368842799906,0.7105263157894737,0.049146757679180884,108,4135,5713,44
0.15000000000000002,0.03085600530856005,0.6118421052631579,0.058749210360075806,93,2921,6927,59
0.20000000000000004,0.03814713896457766,0.5526315789473685,0.07136788445199661,84,2118,7730,68
0.25000000000000006,0.04472049689440994,0.47368421052631576,0.08172531214528944,72,1538,8310,80
0.30000000000000004,0.05108877721943048,0.40131578947368424,0.09063893016344725,61,1133,8715,91
0.3500000000000001,0.06436781609195402,0.3684210526315789,0.10958904109589042,56,814,9034,96
0.40000000000000013,0.07886435331230283,0.32894736842105265,0.1272264631043257,50,584,9264,102
0.4500000000000001,0.09409190371991247,0.28289473684210525,0.1412151067323481,43,414,9434,109
0.5000000000000001,0.12048192771084337,0.2631578947368421,0.16528925619834708,40,292,9556,112
0.5500000000000002,0.13688212927756654,0.23684210526315788,0.17349397590361446,36,227,9621,116
0.6000000000000002,0.15023474178403756,0.21052631578947367,0.17534246575342466,32,181,9667,120
0.6500000000000001,0.15976331360946747,0.17763157894736842,0.16822429906542058,27,142,9706,125
0.7000000000000002,0.17777777777777778,0.15789473684210525,0.1672473867595819,24,111,9737,128
0.7500000000000002,0.1717171717171717,0.1118421052631579,0.13545816733067728,17,82,9766,135
0.8000000000000003,0.18181818181818182,0.07894736842105263,0.11009174311926608,12,54,9794,140
0.8500000000000003,0.17142857142857143,0.039473684210526314,0.0641711229946524,6,29,9819,146
